"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","한양수자인에듀힐즈","2019"," "," "," ","45,000","31","3","2021"," "," ","84.8784","8","241","N"," ","11530"," ","항동"
" ","구로두산","1998"," "," "," ","60,000","13","3","2021"," "," ","51.84","21","1265","N"," ","11530"," ","구로동"
" ","현대홈타운스위트","2004"," "," "," ","73,500","7","3","2021"," "," ","84.9852","5","233","N"," ","11530"," ","항동"
" ","해담채3","2014"," "," "," ","10,100","29","3","2021"," "," ","13.39","12","104-3","N"," ","11530"," ","구로동"
" ","신도림태영타운","2000"," "," "," ","141,000","27","3","2021"," "," ","171.22","19","1267","N"," ","11530"," ","구로동"
" ","신도림태영타운","2000"," "," "," ","100,000","27","3","2021"," "," ","59.88","3","1267","N"," ","11530"," ","구로동"
" ","해담채3","2014"," "," "," ","12,000","16","3","2021"," "," ","13.39","11","104-3","N"," ","11530"," ","구로동"
" ","썬앤빌","2014"," "," "," ","8,000","27","3","2021"," "," ","14.064","16","34-13","N"," ","11530"," ","오류동"
" ","정창빌라","1996"," "," "," ","19,000","26","3","2021"," "," ","48.48","5","748-43","N"," ","11530"," ","구로동"
" ","동아3","2000"," "," "," ","109,800","26","3","2021"," "," ","60","7","645","N"," ","11530"," ","신도림동"
" ","다청림(104동)","2006"," "," "," ","23,500","24","3","2021"," "," ","63.99","1","182","N"," ","11530"," ","궁동"
" ","개봉동현대아이파크","2006"," "," "," ","81,000","28","3","2021"," "," ","59.99","12","489","N"," ","11530"," ","개봉동"
" ","비즈트위트블루","2012"," "," "," ","13,000","21","3","2021"," "," ","15.12","3","107-4","N"," ","11530"," ","구로동"
" ","현대홈타운아파트","1999"," "," "," ","80,500","29","3","2021"," "," ","64.23","1","641","N"," ","11530"," ","신도림동"
" ","금호","1997"," "," "," ","59,000","23","3","2021"," "," ","84.86","5","49","N"," ","11530"," ","구로동"
" ","동아2","2000"," "," "," ","107,000","24","3","2021"," "," ","112.354","11","644","N"," ","11530"," ","신도림동"
" ","동아한신","2000"," "," "," ","69,000","20","3","2021"," "," ","84.92","1","327","N"," ","11530"," ","고척동"
" ","이좋은집","2005"," "," "," ","18,000","27","3","2021"," "," ","36.69","4","46-1","N"," ","11530"," ","오류동"
" ","(745-60)","1996"," "," "," ","19,000","29","3","2021"," "," ","43.42","1","745-60","N"," ","11530"," ","구로동"
" ","대림e-편한세상5","2003"," "," "," ","132,000","26","3","2021"," "," ","84.789","18","647","N"," ","11530"," ","신도림동"
" ","신도림롯데아파트","1999"," "," "," ","87,900","25","3","2021"," "," ","59.68","8","1263","N"," ","11530"," ","구로동"
" ","신도림현대","1994"," "," "," ","86,000","21","3","2021"," "," ","80.01","20","560","N"," ","11530"," ","구로동"
" ","오류동휘버스","2006"," "," "," ","45,000","29","3","2021"," "," ","83.97","4","31-4","N"," ","11530"," ","오류동"
" ","봉일(797-8)","1995"," "," "," ","16,000","23","3","2021"," "," ","42.2","1","797-8","N"," ","11530"," ","구로동"
" ","(749-46)","1996"," "," "," ","17,500","19","3","2021"," "," ","38.43","3","749-46","N"," ","11530"," ","구로동"
" ","비즈트위트그린","2012"," "," "," ","12,500","28","3","2021"," "," ","15.11","13","98-10","N"," ","11530"," ","구로동"
" ","개봉동현대아이파크","2006"," "," "," ","103,300","29","3","2021"," "," ","117.74","22","489","N"," ","11530"," ","개봉동"
" ","한신","1988"," "," "," ","53,300","27","3","2021"," "," ","44.78","7","642-9","N"," ","11530"," ","구로동"
" ","고척파크푸르지오","2009"," "," "," ","74,000","31","3","2021"," "," ","59.89","1","339","N"," ","11530"," ","고척동"
" ","대림1","1999"," "," "," ","112,000","26","3","2021"," "," ","84.95","7","642","N"," ","11530"," ","신도림동"
" ","대림1","1999"," "," "," ","97,000","27","3","2021"," "," ","59.9","6","642","N"," ","11530"," ","신도림동"
" ","우성(1058)","1995"," "," "," ","68,000","19","3","2021"," "," ","59.34","18","1058","N"," ","11530"," ","구로동"
" ","현대","2001"," "," "," ","74,200","20","3","2021"," "," ","59.94","14","481","N"," ","11530"," ","개봉동"
" ","금강(343)","2003"," "," "," ","67,900","26","3","2021"," "," ","60.054","2","343","N"," ","11530"," ","오류동"
" ","다청림(107동)","2007"," "," "," ","40,000","25","3","2021"," "," ","79.81","3","178-5","N"," ","11530"," ","궁동"
" ","대림e-편한세상4","2003"," "," "," ","178,000","22","3","2021"," "," ","152.07","16","646","N"," ","11530"," ","신도림동"
" ","다울숲","2010"," "," "," ","65,900","22","3","2021"," "," ","84.32","12","1286","N"," ","11530"," ","구로동"
" ","개봉동현대아이파크","2006"," "," "," ","81,200","20","3","2021"," "," ","59.99","12","489","N"," ","11530"," ","개봉동"
" ","한진","2000"," "," "," ","57,000","23","3","2021"," "," ","59.95","11","478","N"," ","11530"," ","개봉동"
" ","(718-22)","2000"," "," "," ","21,000","24","3","2021"," "," ","50.26","4","718-22","N"," ","11530"," ","구로동"
" ","포스시티","2014"," "," "," ","10,800","24","3","2021"," "," ","17.75","19","51-31","N"," ","11530"," ","오류동"
" ","한마을","1999"," "," "," ","91,500","25","3","2021"," "," ","123.46","24","476","N"," ","11530"," ","개봉동"
" ","미성","1987"," "," "," ","96,500","27","3","2021"," "," ","83.67","3","290","N"," ","11530"," ","신도림동"
" ","(743-10)","1994"," "," "," ","25,000","27","3","2021"," "," ","37.26","1","743-10","N"," ","11530"," ","구로동"
" ","봉일(797-8)","1995"," "," "," ","26,000","24","3","2021"," "," ","42.2","4","797-8","N"," ","11530"," ","구로동"
" ","현대","2001"," "," "," ","73,000","29","3","2021"," "," ","59.94","15","481","N"," ","11530"," ","개봉동"
" ","금강(343)","2003"," "," "," ","63,000","27","3","2021"," "," ","60.054","1","343","N"," ","11530"," ","오류동"
" ","현대","2001"," "," "," ","76,500","27","3","2021"," "," ","59.94","7","481","N"," ","11530"," ","개봉동"
" ","금강(343)","2003"," "," "," ","80,000","19","3","2021"," "," ","84.983","3","343","N"," ","11530"," ","오류동"
" ","두산","1997"," "," "," ","72,000","18","3","2021"," "," ","111.69","16","472","N"," ","11530"," ","개봉동"
" ","대림2","2001"," "," "," ","125,000","18","3","2021"," "," ","134.99","2","642","N"," ","11530"," ","신도림동"
" ","근상프리즘","2007"," "," "," ","64,400","24","3","2021"," "," ","84.96","6","1283","N"," ","11530"," ","구로동"
" ","한진","2000"," "," "," ","70,000","25","3","2021"," "," ","84.96","4","478","N"," ","11530"," ","개봉동"
" ","디큐브시티","2011"," "," "," ","103,000","22","3","2021"," "," ","59.16","5","692","N"," ","11530"," ","신도림동"
" ","한마을","1999"," "," "," ","74,000","29","3","2021"," "," ","59.57","9","476","N"," ","11530"," ","개봉동"
" ","한진","2000"," "," "," ","57,000","29","3","2021"," "," ","59.95","16","478","N"," ","11530"," ","개봉동"
" ","한양아이클래스구로","2018"," "," "," ","31,000","26","3","2021"," "," ","45.32","2","493","N"," ","11530"," ","개봉동"
" ","한신휴플러스(1280-0)","2007"," "," "," ","69,800","27","3","2021"," "," ","50.17","8","1280","N"," ","11530"," ","구로동"
" ","상우","1997"," "," "," ","67,000","28","3","2021"," "," ","96.3","23","473","N"," ","11530"," ","개봉동"
" ","신도림태영타운","2000"," "," "," ","119,000","25","3","2021"," "," ","84.87","19","1267","N"," ","11530"," ","구로동"
" ","현대","2001"," "," "," ","78,000","18","3","2021"," "," ","84.99","1","481","N"," ","11530"," ","개봉동"
" ","신도림롯데아파트","1999"," "," "," ","135,000","15","3","2021"," "," ","170.3","11","1263","N"," ","11530"," ","구로동"
" ","미성","1987"," "," "," ","95,000","27","3","2021"," "," ","83.67","13","290","N"," ","11530"," ","신도림동"
" ","동아3","2000"," "," "," ","109,000","17","3","2021"," "," ","60","5","645","N"," ","11530"," ","신도림동"
" ","(796-14)","1996"," "," "," ","26,000","25","3","2021"," "," ","49.84","3","796-14","N"," ","11530"," ","구로동"
" ","구일우성","1998"," "," "," ","71,700","16","3","2021"," "," ","84.49","2","1259","N"," ","11530"," ","구로동"
" ","럭키","1992"," "," "," ","60,000","16","3","2021"," "," ","56.11","5","1257","N"," ","11530"," ","구로동"
" ","현대","2001"," "," "," ","74,500","20","3","2021"," "," ","59.94","24","481","N"," ","11530"," ","개봉동"
