"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","한양1","1986"," "," "," ","69,000","14","5","2021"," "," ","66.33","8","388-33","N"," ","11320"," ","쌍문동"
" ","럭키","1992"," "," "," ","60,000","21","5","2021"," "," ","84.86","6","595","N"," ","11320"," ","도봉동"
" ","벽산아파트1","1991"," "," "," ","39,800","15","5","2021"," "," ","52.36","11","275","N"," ","11320"," ","방학동"
" ","창동주공4단지","1991"," "," "," ","70,000","28","5","2021"," "," ","49.94","6","373","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","68,000","29","5","2021"," "," ","84.94","8","30-1","N"," ","11320"," ","도봉동"
" ","삼성래미안","1992"," "," "," ","94,000","29","5","2021"," "," ","84.87","15","45","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","40,000","29","5","2021"," "," ","36.16","1","373","N"," ","11320"," ","창동"
" ","주공17단지","1989"," "," "," ","49,800","31","5","2021"," "," ","36.16","5","38","N"," ","11320"," ","창동"
" ","신동아아파트1","1986"," "," "," ","51,000","31","5","2021"," "," ","70.62","1","271-1","N"," ","11320"," ","방학동"
" ","금용","1997"," "," "," ","49,200","25","5","2021"," "," ","59.97","14","809","N"," ","11320"," ","창동"
" ","한양1","1986"," "," "," ","68,700","28","5","2021"," "," ","66.33","7","388-33","N"," ","11320"," ","쌍문동"
" ","한신","1995"," "," "," ","67,900","29","5","2021"," "," ","84.94","5","30-1","N"," ","11320"," ","도봉동"
" ","럭키","1992"," "," "," ","60,000","27","5","2021"," "," ","84.86","3","595","N"," ","11320"," ","도봉동"
" ","신동아아파트1","1986"," "," "," ","45,000","28","5","2021"," "," ","53.16","3","271-1","N"," ","11320"," ","방학동"
" ","솔밭노블리안","2019"," "," "," ","42,500","31","5","2021"," "," ","54.43","4","733","N"," ","11320"," ","쌍문동"
" ","신동아아파트1","1986"," "," "," ","54,700","26","5","2021"," "," ","70.62","8","271-1","N"," ","11320"," ","방학동"
" ","대원그린아파트","1987"," "," "," ","33,900","24","5","2021"," "," ","53.7","7","444-31","N"," ","11320"," ","방학동"
" ","창동역블루핀2동","2020"," "," "," ","54,000","28","5","2021"," "," ","55.04","7","743-23","N"," ","11320"," ","창동"
" ","대상타운현대아파트","2001"," "," "," ","73,000","24","5","2021"," "," ","60","9","720-1","N"," ","11320"," ","방학동"
" ","한신","1995"," "," "," ","61,000","22","5","2021"," "," ","84.94","12","30-1","N"," ","11320"," ","도봉동"
" ","창동주공1단지","1990"," "," "," ","53,000","20","5","2021"," "," ","41.3","11","305","N"," ","11320"," ","창동"
" ","주공19단지(창동리버타운)","1988"," "," "," ","124,000","30","5","2021"," "," ","84.9","1","27","N"," ","11320"," ","창동"
" ","신동아아파트1","1986"," "," "," ","35,000","21","5","2021"," "," ","43.35","2","271-1","N"," ","11320"," ","방학동"
" ","주공17단지","1989"," "," "," ","51,700","24","5","2021"," "," ","36.16","7","38","N"," ","11320"," ","창동"
" ","신동아아파트1","1986"," "," "," ","51,000","21","5","2021"," "," ","62.22","13","271-1","N"," ","11320"," ","방학동"
" ","동아청솔","1997"," "," "," ","117,000","26","5","2021"," "," ","84.97","20","808","N"," ","11320"," ","창동"
" ","청구아파트","1994"," "," "," ","58,000","26","5","2021"," "," ","70.69","8","734","N"," ","11320"," ","방학동"
" ","창동주공3단지(해등마을)","1990"," "," "," ","79,000","26","5","2021"," "," ","58.01","2","347","N"," ","11320"," ","창동"
" ","신동아아파트1","1986"," ","21.08.10","O","44,800","15","5","2021"," "," ","53.16","3","271-1","N"," ","11320"," ","방학동"
" ","한신","1995"," "," "," ","64,000","24","5","2021"," "," ","84.94","4","30-1","N"," ","11320"," ","도봉동"
" ","상아1차아파트","1987"," "," "," ","84,700","15","5","2021"," "," ","84.99","9","299","N"," ","11320"," ","창동"
" ","삼성래미안","1992"," "," "," ","95,000","24","5","2021"," "," ","84.87","21","45","N"," ","11320"," ","창동"
" ","현대1","1990"," "," "," ","51,800","24","5","2021"," "," ","70.3","1","54","N"," ","11320"," ","쌍문동"
" ","삼성래미안","1992"," "," "," ","93,500","31","5","2021"," "," ","84.87","21","45","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","33,500","24","5","2021"," "," ","40.02","3","641","N"," ","11320"," ","도봉동"
" ","서원","1996"," "," "," ","43,000","30","5","2021"," "," ","49.77","12","641","N"," ","11320"," ","도봉동"
" ","신원2","1998"," "," "," ","47,000","29","5","2021"," "," ","60","9","723","N"," ","11320"," ","쌍문동"
" ","경남","1988"," "," "," ","32,800","18","5","2021"," "," ","46.3","3","73","N"," ","11320"," ","쌍문동"
" ","금호2","1991"," "," "," ","59,000","26","5","2021"," "," ","71.98","5","산69-1","N"," ","11320"," ","쌍문동"
" ","이에스에이아파트2","2003"," "," "," ","75,000","18","5","2021"," "," ","84.98","12","716-5","N"," ","11320"," ","방학동"
" ","동아","1988"," "," "," ","101,500","24","5","2021"," "," ","89.45","6","26","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","62,000","15","5","2021"," "," ","84.94","9","30-1","N"," ","11320"," ","도봉동"
" ","주공17단지","1989"," "," "," ","62,500","15","5","2021"," "," ","49.94","12","38","N"," ","11320"," ","창동"
