"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","DMC상암센트럴파크1단지","2009"," "," "," ","127,000","25","9","2021"," "," ","84.91","4","1630","N"," ","11440"," ","상암동"
" ","대우미래사랑","2005"," "," "," ","26,100","6","9","2021"," "," ","34.29","2","487","N"," ","11440"," ","서교동"
" ","상암월드컵파크2단지","2003"," "," "," ","100,000","28","9","2021"," "," ","49.8","18","1637","N"," ","11440"," ","상암동"
" ","삼성","1997"," "," "," ","165,000","30","9","2021"," "," ","84.985","12","550","N"," ","11440"," ","도화동"
" ","마포현대","1988"," "," "," ","134,500","30","9","2021"," "," ","84.87","1","188-108","N"," ","11440"," ","공덕동"
" ","상록","1997"," "," "," ","98,000","27","9","2021"," "," ","58.71","6","515-1","N"," ","11440"," ","염리동"
" ","밤섬힐스테이트","1999"," "," "," ","170,000","28","9","2021"," "," ","84.84","10","220","N"," ","11440"," ","현석동"
" ","마포그랑자이","2020"," "," "," ","198,500","25","9","2021"," "," ","84.98","18","806","N"," ","11440"," ","대흥동"
" ","수풍","2009"," "," "," ","60,000","23","9","2021"," "," ","84.76","3","30-28","N"," ","11440"," ","중동"
" ","메세나폴리스","2012"," "," "," ","210,000","25","9","2021"," "," ","142.034","20","490","N"," ","11440"," ","서교동"
" ","노블레스빌2","2002"," "," "," ","68,000","24","9","2021"," "," ","82.18","2","249-3","N"," ","11440"," ","연남동"
" ","래미안공덕4차","2005"," "," "," ","136,000","25","9","2021"," "," ","59.9","4","464","N"," ","11440"," ","공덕동"
" ","신공덕1차삼성래미안1아파트","2000"," "," "," ","125,000","24","9","2021"," "," ","59.76","7","155","N"," ","11440"," ","신공덕동"
" ","염리삼성래미안","2001"," "," "," ","154,500","23","9","2021"," "," ","84.96","8","520","N"," ","11440"," ","염리동"
" ","대흥동태영아파트","1999"," "," "," ","125,000","25","9","2021"," "," ","59.4","2","660","N"," ","11440"," ","대흥동"
" ","마포한강푸르지오","2015"," "," "," ","195,000","16","9","2021"," "," ","84.64","34","472","N"," ","11440"," ","합정동"
" ","공덕아이파크","2013"," "," "," ","147,500","30","9","2021"," "," ","59.98","12","174","N"," ","11440"," ","신공덕동"
" ","래미안밤섬리베뉴Ⅱ","2014"," "," "," ","224,000","18","9","2021"," "," ","122.87","8","398","N"," ","11440"," ","상수동"
" ","수풍","2009"," "," "," ","59,300","28","9","2021"," "," ","84.91","4","30-28","N"," ","11440"," ","중동"
" ","애오개아이파크","2016"," "," "," ","56,800","28","9","2021"," "," ","30.01","2","780","N"," ","11440"," ","아현동"
" ","서강오벨리스크스위트","2007"," "," "," ","125,000","17","9","2021"," "," ","84.96","4","442","N"," ","11440"," ","창전동"
" ","뉴성신아파트","2021"," "," "," ","73,000","6","9","2021"," "," ","59.02","4","433-4","N"," ","11440"," ","망원동"
" ","신촌금호","2001"," "," "," ","122,000","25","9","2021"," "," ","84.86","16","438","N"," ","11440"," ","창전동"
" ","한강삼성","1997"," "," "," ","143,500","17","9","2021"," "," ","84.96","6","138","N"," ","11440"," ","토정동"
" ","탑건진선미","2004"," "," "," ","105,000","17","9","2021"," "," ","84.95","11","506","N"," ","11440"," ","망원동"
" ","한강삼성","1997"," "," "," ","124,000","15","9","2021"," "," ","59.76","12","138","N"," ","11440"," ","토정동"
" ","한화오벨리스크","2004"," "," "," ","80,000","25","9","2021"," "," ","49.87","6","555","N"," ","11440"," ","도화동"
" ","상록","1997"," "," "," ","95,000","16","9","2021"," "," ","49.8","16","515-1","N"," ","11440"," ","염리동"
" ","마포래미안푸르지오1단지","2014"," "," "," ","194,500","15","9","2021"," "," ","84.5978","16","777","N"," ","11440"," ","아현동"
" ","메세나폴리스","2012"," "," "," ","215,600","18","9","2021"," "," ","142.034","35","490","N"," ","11440"," ","서교동"
" ","마포현대","1988"," "," "," ","132,000","18","9","2021"," "," ","84.87","2","188-108","N"," ","11440"," ","공덕동"
" ","마포래미안푸르지오4단지","2014"," "," "," ","170,000","23","9","2021"," "," ","59.9656","29","777","N"," ","11440"," ","아현동"
" ","마포자이2차","2014"," "," "," ","183,000","18","9","2021"," "," ","84.44","18","804","N"," ","11440"," ","대흥동"
" ","마포한강2차푸르지오","2016"," "," "," ","176,000","17","9","2021"," "," ","83.45","16","473","N"," ","11440"," ","합정동"
" ","마포래미안푸르지오4단지","2014"," "," "," ","193,500","15","9","2021"," "," ","84.8919","26","777","N"," ","11440"," ","아현동"
" ","서희스타힐스","2014"," "," "," ","37,500","11","9","2021"," "," ","33.76","18","12-41","N"," ","11440"," ","대흥동"
" ","코오롱","2003"," "," "," ","114,000","15","9","2021"," "," ","84.936","6","573","N"," ","11440"," ","연남동"
" ","래미안웰스트림","2016"," "," "," ","230,000","14","9","2021"," "," ","84.98","32","225","N"," ","11440"," ","현석동"
" ","공덕3삼성래미안","2004"," "," "," ","141,000","11","9","2021"," "," ","59.97","4","457","N"," ","11440"," ","공덕동"
" ","한화오벨리스크","2004"," "," "," ","63,500","28","9","2021"," "," ","41.32","14","555","N"," ","11440"," ","도화동"
" ","마포래미안푸르지오3단지","2014"," ","22.05.23","O","180,000","13","9","2021"," "," ","84.5978","11","777","N"," ","11440"," ","아현동"
" ","삼성","1997"," "," "," ","160,000","11","9","2021"," "," ","84.985","5","550","N"," ","11440"," ","도화동"
" ","상암월드컵파크6단지","2005"," "," "," ","169,500","28","9","2021"," "," ","104.32","10","1689","N"," ","11440"," ","상암동"
" ","마포래미안푸르지오4단지","2014"," "," "," ","165,000","12","9","2021"," "," ","59.9656","15","777","N"," ","11440"," ","아현동"
" ","래미안밤섬리베뉴Ⅰ","2014"," "," "," ","148,000","13","9","2021"," "," ","59.99","20","402","N"," ","11440"," ","상수동"
" ","마포트라팰리스","2006"," "," "," ","117,500","24","9","2021"," "," ","84.02","3","559","N"," ","11440"," ","도화동"
" ","삼성","1997"," "," "," ","190,000","11","9","2021"," "," ","136.65","8","550","N"," ","11440"," ","도화동"
" ","신공덕1차삼성래미안1아파트","2000"," "," "," ","157,700","11","9","2021"," "," ","84.9","13","155","N"," ","11440"," ","신공덕동"
" ","신공덕래미안3차","2003"," "," "," ","127,000","14","9","2021"," "," ","59.96","10","161","N"," ","11440"," ","신공덕동"
" ","창전동현대홈타운","2005"," "," "," ","123,000","14","9","2021"," "," ","59.651","13","440","N"," ","11440"," ","창전동"
" ","밤섬힐스테이트","1999"," "," "," ","150,000","17","9","2021"," "," ","84.84","10","220","N"," ","11440"," ","현석동"
" ","래미안공덕5차","2011"," "," "," ","147,500","11","9","2021"," "," ","59.968","3","469","N"," ","11440"," ","공덕동"
" ","마포중동현대","2001"," "," "," ","89,700","9","9","2021"," "," ","59.88","9","392","N"," ","11440"," ","중동"
" ","마포그랑자이","2020"," "," "," ","200,000","18","9","2021"," "," ","84.98","10","806","N"," ","11440"," ","대흥동"
" ","상수두산위브","2004"," "," "," ","170,000","11","9","2021"," "," ","114.533","24","396","N"," ","11440"," ","상수동"
" ","성산시영(대우)","1986"," "," "," ","111,000","29","9","2021"," "," ","50.03","12","446","N"," ","11440"," ","성산동"
" ","한화오벨리스크","2004"," "," "," ","55,000","14","9","2021"," "," ","38.08","4","555","N"," ","11440"," ","도화동"
