"apt_juso","coord_x","coord_y"
"서울특별시 종로구 창신동 638-45 삼흥",127.009337881471,37.5758837385698
"서울특별시 종로구 필운동 254 신동아블루아광화문의꿈",126.9699712435,37.5757916307873
"서울특별시 종로구 숭인동 494 동문",127.021461786317,37.5780863495289
"서울특별시 종로구 당주동 100 세종",126.97331522348,37.571864186778
"서울특별시 중구 회현동1가 208 남산롯데캐슬아이리스",126.981925536214,37.5582562719927
"서울특별시 중구 황학동 2545 롯데캐슬",127.021433711217,37.5709782271712
"서울특별시 중구 신당동 844 남산타운",127.008880476432,37.5486807945139
"서울특별시 중구 순화동 151 순화동더샵",126.972065464999,37.5601777993529
"서울특별시 중구 신당동 842 약수하이츠",127.014263668771,37.5547365066187
"서울특별시 중구 만리동1가 62-7 서울역디오빌",126.967221788694,37.5550177138767
"서울특별시 중구 신당동 294-12 타워",127.014695831123,37.560282452538
"서울특별시 중구 신당동 843 삼성",127.017895622274,37.5581689025054
"서울특별시 중구 흥인동 13-1 청계천두산위브더제니스",127.017110234475,37.566861653483
"서울특별시 중구 신당동 366-126 남산정은스카이",127.007787174305,37.5494498739986
"서울특별시 중구 신당동 851 래미안하이베르",127.022720407044,37.5616192513452
"서울특별시 중구 신당동 432-1957 신신",127.0051850711,37.5510327107942
"서울특별시 중구 신당동 852 청구e편한세상",127.016730517193,37.5604485958729
"서울특별시 중구 만리동1가 231 LIG서울역리가",126.967001745344,37.555868464626
"서울특별시 중구 신당동 840 현대",127.021759346522,37.5599721399106
"서울특별시 중구 신당동 850 신당푸르지오",127.019504822129,37.5592004695562
"서울특별시 중구 중림동 200 삼성사이버빌리지",126.965306488642,37.5581161473011
"서울특별시 중구 황학동 819 DUO302",127.023270434217,37.5665827328463
"서울특별시 중구 신당동 290-52 대성드림",127.015603317283,37.5613848858954
"서울특별시 중구 황학동 787 한양I-Class",127.023298555152,37.5671059356091
"서울특별시 중구 회현동2가 87 쌍용남산플래티넘",126.983218672682,37.5594031619007
"서울특별시 중구 충무로5가 36-2 충무로엘크루메크로시티2차",127.000001584595,37.5633835164692
"서울특별시 중구 묵정동 11-67 묵정",127.000052968838,37.560682598836
"서울특별시 중구 황학동 2523 황학아크로타워",127.021909314822,37.5661715985315
"서울특별시 중구 황학동 1546 ",127.02155770471,37.5691635097764
"서울특별시 중구 황학동 882 황학동코아루",127.022477348128,37.566708034837
"서울특별시 중구 중림동 149 성요셉",126.967257249333,37.5595875821395
"서울특별시 중구 순화동 217 덕수궁롯데캐슬",126.97037127234,37.5635913526827
"서울특별시 중구 충무로5가 90 충무로헤센스마트",126.998504521455,37.5613995125221
"서울특별시 중구 회현동1가 206 SK리더스뷰남산",126.980636557364,37.5591275120652
"서울특별시 중구 회현동1가 146-1 삼풍",126.98252007976,37.5562258738598
"서울특별시 중구 신당동 432-1970 유정",127.005550492954,37.5511221633146
"서울특별시 중구 신당동 432-579 동산",127.005296009443,37.5515272638274
"서울특별시 중구 신당동 160-5 신당아르브",127.022400115429,37.56356086998
"서울특별시 중구 인현동2가 192-30 인현상가/신성아파트",126.99580566902,37.5637577158708
"서울특별시 중구 황학동 1743 골드캐슬Ⅲ",127.0212346135,37.5702355727167
"서울특별시 중구 충무로4가 306 남산센트럴자이",126.997667728847,37.5625353854314
"서울특별시 중구 충무로4가 120-3 진양상가",126.995939188779,37.562402711937
"서울특별시 중구 신당동 432-2164 도현블랑빌",127.00611980975,37.5480424320662
"서울특별시 중구 오장동 145-1 오렌지카운티을지로",127.001405231149,37.5652397406613
"서울특별시 중구 신당동 432-2006 수산타운",127.005744290998,37.5503831551888
"서울특별시 중구 장충동2가 193-29 장충",127.001671768784,37.559256579134
"서울특별시 중구 황학동 2033 청계리버팰리스A",127.020742512867,37.5696874945972
"서울특별시 중구 묵정동 11-2 충무",127.000688822151,37.5607801747959
"서울특별시 중구 순화동 215 바비엥3",126.969654984929,37.5631527459053
"서울특별시 중구 중림동 355 브라운스톤서울",126.968341179709,37.5606358272505
"서울특별시 중구 신당동 290-90 청구드림",127.015749929916,37.561044379755
"서울특별시 중구 정동 37 삼정아트테라스정동",126.971934852329,37.5632014230769
"서울특별시 중구 신당동 856 신당KCC스위첸",127.02479384731,37.5631258409821
"서울특별시 중구 신당동 432-2000 스위스빌라",127.005734799148,37.5505667791251
